location,name,freq,weighting,n_factors,date,ret
per,debt_issuance,monthly,vw_cap,7,2016-01-31,-0.0117715882418541
per,debt_issuance,monthly,vw_cap,7,2016-02-29,-0.0772462570017967
per,debt_issuance,monthly,vw_cap,7,2016-03-31,0.00769368837009207
per,debt_issuance,monthly,vw_cap,7,2016-04-30,-0.0167760458587988
per,debt_issuance,monthly,vw_cap,7,2016-05-31,0.00541929803224032
per,debt_issuance,monthly,vw_cap,7,2016-06-30,-0.0117515138106358
per,debt_issuance,monthly,vw_cap,7,2016-07-31,0.0094393280709287
per,debt_issuance,monthly,vw_cap,7,2016-08-31,0.00385110565509736
per,debt_issuance,monthly,vw_cap,7,2016-09-30,-0.0243288166376096
per,debt_issuance,monthly,vw_cap,7,2016-10-31,0.0313390594933535
per,debt_issuance,monthly,vw_cap,7,2016-11-30,-0.00372656063567988
per,debt_issuance,monthly,vw_cap,7,2016-12-31,0.0520183464062882
per,debt_issuance,monthly,vw_cap,7,2017-01-31,-0.0387062624561096
per,debt_issuance,monthly,vw_cap,7,2017-02-28,0.0053252825241923
per,debt_issuance,monthly,vw_cap,7,2017-03-31,0.0318370916821317
per,debt_issuance,monthly,vw_cap,7,2017-04-30,-0.02531540324364
per,debt_issuance,monthly,vw_cap,7,2017-05-31,-0.00283329280539461
per,debt_issuance,monthly,vw_cap,7,2017-06-30,0.00109061055372112
per,debt_issuance,monthly,vw_cap,7,2017-07-31,0.0000805662164097851
per,debt_issuance,monthly,vw_cap,7,2017-08-31,-0.00176794197493508
per,debt_issuance,monthly,vw_cap,7,2017-09-30,0.0197670093648493
per,debt_issuance,monthly,vw_cap,7,2017-10-31,0.0221559913641238
per,debt_issuance,monthly,vw_cap,7,2017-11-30,0.00240970501559222
per,debt_issuance,monthly,vw_cap,7,2017-12-31,-0.00154820059588694
per,debt_issuance,monthly,vw_cap,7,2018-01-31,0.0109772458375517
per,debt_issuance,monthly,vw_cap,7,2018-02-28,0.0110358907289871
per,debt_issuance,monthly,vw_cap,7,2018-03-31,0.00485960901791706
