location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
per,aliq_at,monthly,vw_cap,-1,35,13,2016-07-31,0.0329684573628651
per,aliq_at,monthly,vw_cap,-1,34,15,2016-08-31,0.0468683363882397
per,aliq_at,monthly,vw_cap,-1,34,15,2016-09-30,-0.0144162079131878
per,aliq_at,monthly,vw_cap,-1,35,15,2016-10-31,0.0326159163035308
per,aliq_at,monthly,vw_cap,-1,41,20,2016-11-30,-0.0124768429205591
per,aliq_at,monthly,vw_cap,-1,40,19,2016-12-31,0.0155163371832354
per,aliq_at,monthly,vw_cap,-1,39,19,2017-01-31,-0.0799028510973062
per,aliq_at,monthly,vw_cap,-1,46,16,2017-02-28,0.00250644713934329
per,aliq_at,monthly,vw_cap,-1,49,17,2017-03-31,0.082684440519329
per,aliq_at,monthly,vw_cap,-1,48,17,2017-04-30,-0.0327927894646091
per,aliq_at,monthly,vw_cap,-1,36,15,2017-05-31,0.000205432868123606
per,aliq_at,monthly,vw_cap,-1,34,15,2017-06-30,0.0092720593998454
per,aliq_at,monthly,vw_cap,-1,32,15,2017-07-31,-0.0234432203035046
per,aliq_at,monthly,vw_cap,-1,48,19,2017-08-31,0.0247381501210668
per,aliq_at,monthly,vw_cap,-1,46,15,2017-09-30,0.0354899148766084
per,aliq_at,monthly,vw_cap,-1,48,15,2017-10-31,0.0420522673951693
per,aliq_at,monthly,vw_cap,-1,49,16,2017-11-30,-0.0111115431678702
per,aliq_at,monthly,vw_cap,-1,46,16,2017-12-31,-0.0118420471789809
per,aliq_at,monthly,vw_cap,-1,50,17,2018-01-31,0.0372856742730287
per,aliq_at,monthly,vw_cap,-1,40,16,2018-02-28,-0.0872493164540428
